Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"163,928","$9,035.70 ",134,"$3,892.30 ","$6,694.40 ","$11,430.00 ",2013
Acadia NP,"2,254,922","$190,953.90 ","2,903","$87,417.70 ","$144,375.40 ","$251,037.80 ",2013
Adams NHP,"285,500","$15,736.60 ",210,"$8,190.00 ","$13,284.30 ","$20,817.60 ",2013
African Burial Ground NM,"93,234","$5,139.10 ",59,"$2,780.90 ","$4,500.00 ","$6,606.80 ",2013
Agate Fossil Beds NM*,"10,503",$726.90 ,9,$196.00 ,$367.20 ,$702.70 ,2013
Alibates Flint Quarries NM,"1,555",$85.70 ,1,$27.90 ,$55.20 ,$97.10 ,2013
Allegheny Portage Railroad NHS,"107,977","$5,951.60 ",89,"$2,647.90 ","$4,374.20 ","$7,501.30 ",2013
Amistad NRA,"1,025,150","$42,173.60 ",524,"$11,383.50 ","$22,607.90 ","$39,665.90 ",2013
Andersonville NHS,"98,770","$5,444.20 ",81,"$1,846.30 ","$3,415.10 ","$6,158.80 ",2013
Andrew Johnson NHS,"42,930","$2,366.20 ",34,$958.40 ,"$1,664.90 ","$2,850.10 ",2013
Aniakchak NM&PRES,134,$120.60 ,1,$61.20 ,$109.30 ,$175.70 ,2013
Antietam NB,"370,832","$20,440.10 ",266,"$10,375.60 ","$16,769.40 ","$26,108.80 ",2013
Apostle Islands NL*,"148,556","$22,354.30 ",304,"$7,133.70 ","$13,919.00 ","$24,213.60 ",2013
Appomattox Court House NHP,"317,661","$17,509.30 ",250,"$6,467.70 ","$11,505.50 ","$19,978.50 ",2013
Arches NP*,"1,082,866","$120,171.70 ","1,753","$46,305.80 ","$82,484.30 ","$143,260.80 ",2013
Arkansas Post NMEM,"36,420","$2,007.40 ",27,$841.10 ,"$1,362.10 ","$2,312.70 ",2013
"Arlington House, The Robert E. LeeMemorial NMEM","586,531","$32,329.40 ",415,"$16,500.60 ","$26,658.00 ","$41,227.40 ",2013
Assateague Island NS,"2,056,827","$84,350.40 ","1,052","$29,003.00 ","$52,424.10 ","$87,529.30 ",2013
Aztec Ruins NM,"41,313","$2,277.10 ",31,$754.00 ,"$1,314.60 ","$2,335.80 ",2013
Badlands NP,"892,373","$53,653.60 ",793,"$18,611.80 ","$33,665.60 ","$61,862.50 ",2013
Bandelier NM,"126,682","$7,463.60 ",105,"$3,104.90 ","$5,140.30 ","$8,923.30 ",2013
Bent's Old Fort NHS,"23,324","$1,285.60 ",17,$488.90 ,$850.20 ,"$1,440.90 ",2013
Bering Land Bridge NPRES,"2,642","$3,908.80 ",54,"$1,946.30 ","$3,267.90 ","$5,443.00 ",2013
Big Bend NP,"316,952","$26,801.90 ",353,"$7,762.50 ","$15,965.80 ","$27,770.80 ",2013
Big Cypress NPRES,"1,007,789","$75,954.70 ",997,"$39,779.20 ","$66,073.20 ","$104,554.50 ",2013
Big Hole NB,"38,093","$2,099.70 ",31,$752.70 ,"$1,212.60 ","$2,249.00 ",2013
Big South Fork NRRA*,"565,063","$16,294.70 ",204,"$5,418.30 ","$9,535.10 ","$16,185.90 ",2013
Big Thicket NPRES,"120,108","$7,243.10 ",89,"$3,181.40 ","$5,431.00 ","$8,716.10 ",2013
Bighorn Canyon NRA,"241,528","$9,893.50 ",140,"$3,646.60 ","$6,026.70 ","$10,850.10 ",2013
Biscayne NP,"486,848","$29,412.30 ",374,"$15,185.00 ","$24,775.40 ","$38,884.40 ",2013
Black Canyon Of The Gunnison NP,"175,852","$10,297.10 ",123,"$4,301.80 ","$6,928.10 ","$11,215.70 ",2013
Blue Ridge PKWY,"12,877,369","$782,926.00 ","11,283","$337,757.90 ","$583,396.00 ","$999,349.10 ",2013
Bluestone NSR,"36,267","$1,474.30 ",19,$517.10 ,$870.40 ,"$1,499.90 ",2013
Booker T Washington NM,"22,102","$1,218.30 ",18,$470.70 ,$815.50 ,"$1,411.60 ",2013
Boston NHP,"2,245,876","$123,791.80 ","1,657","$64,653.00 ","$104,653.30 ","$164,130.00 ",2013
Boston African American NHS,"386,084","$21,280.80 ",285,"$11,105.60 ","$17,984.90 ","$28,214.30 ",2013
