Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"265,707","$17,545 ",266,"$8,749 ","$13,694 ","$25,544 ",2022
Acadia NP a,"3,970,260","$478,821 ","6,695","$231,941 ","$394,168 ","$690,712 ",2022
Adams NHP,"12,848",$849 ,11,$512 ,$798 ,"$1,290 ",2022
African Burial Ground NM,"29,743","$1,964 ",21,"$1,170 ","$1,902 ","$2,884 ",2022
Agate Fossil Beds NM a,"16,357","$1,378 ",18,$428 ,$743 ,"$1,477 ",2022
Alagnak WR c,184,$7 ,0,$3 ,$5 ,$8 ,2022
Alibates Flint Quarries NM,"7,520",$497 ,7,$207 ,$327 ,$638 ,2022
Allegheny Portage Railroad NHS,"176,144","$11,631 ",167,"$6,225 ","$9,636 ","$17,060 ",2022
Amistad NRA,"912,283","$45,498 ",574,"$15,785 ","$25,063 ","$49,145 ",2022
Andersonville NHS,"60,109","$3,969 ",61,"$1,510 ","$2,585 ","$5,109 ",2022
Andrew Johnson NHS,"52,873","$3,491 ",49,"$1,624 ","$2,660 ","$4,838 ",2022
Aniakchak NM&PRES,179,$344 ,5,$189 ,$306 ,$520 ,2022
Antietam NB,"115,619","$7,630 ",95,"$4,323 ","$7,026 ","$11,330 ",2022
Apostle Islands NL a,"254,952","$45,212 ",623,"$17,511 ","$29,955 ","$56,652 ",2022
Appomattox Court House NHP,"83,483","$5,512 ",79,"$2,360 ","$3,939 ","$7,307 ",2022
"Arches NP a,b","1,460,652","$274,172 ","3,558","$112,310 ","$188,653 ","$335,174 ",2022
Arkansas Post NMEM,"22,791","$1,505 ",20,$617 ,"$1,054 ","$1,927 ",2022
"Arlington House, The Robert E. Lee Memorial NMEM","306,686","$20,251 ",249,"$11,448 ","$18,706 ","$29,992 ",2022
Assateague Island NS,"2,340,269","$116,445 ","1,414","$47,671 ","$78,036 ","$138,624 ",2022
Aztec Ruins NM,"50,396","$3,328 ",44,"$1,178 ","$2,097 ","$3,990 ",2022
Badlands NP,"1,006,809","$73,746 ",991,"$29,025 ","$50,916 ","$95,334 ",2022
Bandelier NM,"210,941","$15,018 ",200,"$6,212 ","$10,742 ","$19,649 ",2022
Belmont-Paul Women's Equality NM c,0,$0 ,0,$0 ,$0 ,$0 ,2022
Bent's Old Fort NHS,"26,057","$1,720 ",23,$723 ,"$1,244 ","$2,226 ",2022
Bering Land Bridge NPRES,"2,642","$4,363 ",61,"$2,388 ","$3,810 ","$6,529 ",2022
Big Bend NP,"514,107","$48,061 ",655,"$18,559 ","$29,560 ","$55,676 ",2022
Big Cypress NPRES,"2,903,159","$261,407 ","3,403","$133,394 ","$228,749 ","$387,985 ",2022
Big Hole NB a,"54,781","$4,371 ",56,"$1,618 ","$2,416 ","$4,845 ",2022
Big South Fork NRRA a,"797,726","$28,195 ",333,"$10,978 ","$17,840 ","$32,603 ",2022
Big Thicket NPRES,"276,788","$20,113 ",263,"$10,153 ","$15,942 ","$27,473 ",2022
Bighorn Canyon NRA,"217,660","$10,805 ",145,"$4,436 ","$6,780 ","$13,194 ",2022
Biscayne NP,"701,023","$50,949 ",659,"$25,797 ","$43,606 ","$74,118 ",2022
Black Canyon of the Gunnison NP,"297,257","$20,930 ",243,"$9,059 ","$15,154 ","$26,108 ",2022
Blue Ridge PKWY a,"15,711,004","$1,286,018 ","17,824","$529,662 ","$899,322 ","$1,674,075 ",2022
Bluestone NSR c,"14,113",$705 ,9,$274 ,$457 ,$849 ,2022
Booker T Washington NM,"20,396","$1,347 ",20,$592 ,$992 ,"$1,863 ",2022
Boston African American NHS,"390,765","$25,803 ",323,"$15,592 ","$24,310 ","$39,314 ",2022
Boston Harbor Islands NRA c,"29,241","$1,460 ",17,$820 ,"$1,275 ","$2,070 ",2022
Boston NHP,"2,123,246","$140,202 ","1,752","$84,732 ","$132,086 ","$213,592 ",2022
Brown V Board of Education NHS,"15,564","$1,028 ",15,$541 ,$897 ,"$1,612 ",2022
"Bryce Canyon NP a,b","2,354,660","$218,608 ","3,019","$69,296 ","$118,191 ","$234,954 ",2022
Buck Island Reef NM,"45,365","$3,210 ",31,"$1,426 ","$2,628 ","$4,011 ",2022
Buffalo NR,"1,306,932","$64,953 ",864,"$24,432 ","$41,554 ","$78,495 ",2022
Cabrillo NM,"768,076","$50,718 ",638,"$27,761 ","$43,651 ","$71,205 ",2022
Camp Nelson NM,"16,217","$1,071 ",16,$497 ,$781 ,"$1,479 ",2022
Canaveral NS a,"2,122,075","$87,275 ","1,126","$42,253 ","$71,804 ","$124,122 ",2022
Cane River Creole NHP,"14,811",$978 ,13,$381 ,$663 ,"$1,232 ",2022
Canyon De Chelly NM,"354,972","$26,964 ",352,"$9,277 ","$16,619 ","$31,858 ",2022
"Canyonlands NP a,b","779,147","$101,464 ","1,319","$40,896 ","$69,246 ","$123,758 ",2022
Cape Cod NS a,"3,968,672","$548,247 ","6,683","$275,881 ","$450,024 ","$750,304 ",2022
"Cape Hatteras NS a,b","2,862,844","$644,568 ","10,272","$350,475 ","$537,394 ","$864,609 ",2022
Cape Krusenstern NM,"17,403","$28,727 ",403,"$15,723 ","$25,089 ","$42,990 ",2022
Cape Lookout NS,"541,533","$26,773 ",343,"$9,598 ","$15,632 ","$29,648 ",2022
"Capitol Reef NP a,b","1,227,608","$105,561 ","1,462","$32,199 ","$62,120 ","$121,297 ",2022
Capulin Volcano NM a,"88,541","$3,029 ",38,$990 ,"$1,661 ","$3,160 ",2022
Carl Sandburg Home NHS,"79,123","$5,225 ",73,"$2,263 ","$3,809 ","$6,912 ",2022
Carlsbad Caverns NP,"390,932","$28,452 ",353,"$9,838 ","$16,890 ","$31,166 ",2022
Carter G. Woodson Home NHS c,0,$0 ,0,$0 ,$0 ,$0 ,2022
Casa Grande Ruins NM,"78,557","$5,187 ",71,"$2,786 ","$4,649 ","$8,017 ",2022
Castillo De San Marcos NM,"624,841","$41,259 ",592,"$19,210 ","$32,775 ","$58,786 ",2022
Castle Clinton NM,"3,471,661","$99,259 ",976,"$50,383 ","$80,097 ","$125,214 ",2022
"Catoctin Mountain P a,b","450,322","$13,455 ",147,"$6,523 ","$10,338 ","$16,460 ",2022
Cedar Breaks NM,"688,644","$50,025 ",653,"$19,416 ","$33,285 ","$62,189 ",2022
Cesar E. Chavez NM,"11,585",$765 ,9,$442 ,$693 ,"$1,118 ",2022
Chaco Culture NHP,"41,594","$2,525 ",33,$994 ,"$1,722 ","$3,152 ",2022
Chamizal NMEM c,"17,673","$1,167 ",17,$488 ,$776 ,"$1,515 ",2022
Channel Islands NP,"323,245","$21,775 ",258,"$12,639 ","$19,935 ","$31,853 ",2022
Charles Pinckney NHS,"12,585",$831 ,11,$361 ,$625 ,"$1,080 ",2022
Charles Young Buffalo Soldiers NM,"3,518",$232 ,3,$113 ,$178 ,$323 ,2022
Chattahoochee River NRA,"3,537,848","$176,660 ","2,372","$89,583 ","$149,455 ","$259,566 ",2022
Chesapeake & Ohio Canal NHP,"4,286,185","$90,738 ","1,177","$51,826 ","$85,518 ","$139,746 ",2022
Chickamauga & Chattanooga NMP,"964,272","$63,644 ",905,"$26,387 ","$43,365 ","$81,396 ",2022
Chickasaw NRA a,"1,455,530","$27,957 ",258,"$7,206 ","$11,691 ","$23,493 ",2022
Chiricahua NM,"61,377","$4,063 ",49,"$1,410 ","$2,395 ","$4,374 ",2022
Christiansted NHS,"96,587","$6,378 ",65,"$2,966 ","$5,327 ","$8,221 ",2022
City Of Rocks NRES,"83,996","$5,546 ",73,"$2,097 ","$3,567 ","$6,596 ",2022
Clara Barton NHS c,673,$45 ,1,$25 ,$41 ,$66 ,2022
Colonial NHP a,"2,762,273","$303,110 ","4,509","$128,874 ","$220,132 ","$407,623 ",2022
Colorado NM,"480,442","$34,055 ",438,"$13,332 ","$23,066 ","$42,518 ",2022
Congaree NP a,"204,522","$11,831 ",138,"$4,534 ","$8,073 ","$14,224 ",2022
Coronado NMEM,"131,359","$8,674 ",114,"$3,871 ","$6,434 ","$11,384 ",2022
Cowpens NB,"212,534","$15,469 ",213,"$7,765 ","$12,878 ","$22,503 ",2022
Crater Lake NP,"527,259","$51,208 ",728,"$27,714 ","$42,626 ","$74,757 ",2022
Craters Of The Moon NM&PRES a,"237,774","$9,362 ",124,"$3,438 ","$5,770 ","$11,017 ",2022
"Cumberland Gap NHP a,b","732,916","$23,245 ",284,"$8,010 ","$13,640 ","$25,237 ",2022
Cumberland Island NS,"64,387","$3,091 ",41,"$1,386 ","$2,304 ","$4,085 ",2022
Curecanti NRA,"992,749","$49,301 ",556,"$19,920 ","$33,071 ","$57,818 ",2022
Cuyahoga Valley NP a,"2,913,312","$55,996 ",778,"$30,380 ","$48,069 ","$86,244 ",2022
Dayton Aviation Heritage NHP a,"81,303","$5,362 ",85,"$3,124 ","$4,999 ","$8,857 ",2022
De Soto NMEM,"173,150","$11,433 ",163,"$5,835 ","$9,770 ","$17,195 ",2022
Death Valley NP,"1,128,862","$104,819 ","1,228","$51,435 ","$86,947 ","$139,299 ",2022
Delaware Water Gap NRA a,"4,380,225","$167,208 ","2,329","$110,908 ","$166,593 ","$266,010 ",2022
Denali NP&PRES,"427,562","$474,887 ","6,641","$260,213 ","$417,656 ","$713,505 ",2022
Devils Postpile NM,"144,453","$10,514 ",127,"$4,759 ","$7,620 ","$13,127 ",2022
Devils Tower NM,"480,713","$34,868 ",459,"$13,824 ","$24,442 ","$45,382 ",2022
Dinosaur NM,"351,019","$23,829 ",270,"$9,194 ","$15,517 ","$27,064 ",2022
Dry Tortugas NP,"78,488","$5,403 ",58,"$2,173 ","$3,686 ","$6,123 ",2022
Dwight D. Eisenhower MEM,"760,603","$16,208 ",203,"$9,371 ","$15,509 ","$24,844 ",2022
Edgar Allan Poe NHS c,"10,726",$708 ,10,$434 ,$674 ,"$1,123 ",2022
Effigy Mounds NM a,"56,422","$4,053 ",61,"$1,646 ","$2,707 ","$5,230 ",2022
Eisenhower NHS,"22,250","$1,469 ",18,$830 ,"$1,332 ","$2,149 ",2022
