Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"252,495","$14,763.10 ",245,"$7,004.70 ","$11,226.50 ","$19,905.80 ",2016
Acadia NP,"3,303,394","$274,208.80 ","4,195","$111,087.10 ","$188,275.10 ","$332,786.30 ",2016
Adams NHP,"199,300","$11,652.80 ",171,"$6,534.10 ","$10,281.90 ","$16,519.60 ",2016
African Burial Ground NM,"46,526","$2,720.40 ",34,"$1,603.20 ","$2,487.30 ","$3,764.50 ",2016
Agate Fossil Beds NM*,"15,555","$1,140.40 ",17,$354.90 ,$638.00 ,"$1,199.30 ",2016
Alibates Flint Quarries NM,"8,152",$476.60 ,8,$189.90 ,$331.40 ,$596.50 ,2016
Allegheny Portage Railroad NHS,"189,370","$11,072.20 ",184,"$5,476.30 ","$8,602.70 ","$15,044.80 ",2016
Amistad NRA,"1,164,530","$50,617.70 ",710,"$15,544.90 ","$28,081.30 ","$51,077.60 ",2016
Andersonville NHS,"134,216","$7,847.40 ",133,"$3,016.40 ","$5,135.50 ","$9,622.30 ",2016
Andrew Johnson NHS,"45,937","$2,685.80 ",45,"$1,202.50 ","$2,006.60 ","$3,502.10 ",2016
Aniakchak NM&PRES,83,$79.10 ,0,$31.40 ,$74.30 ,$111.10 ,2016
Antietam NB,"351,911","$22,660.80 ",305,"$12,039.00 ","$19,161.80 ","$30,595.20 ",2016
Apostle Islands NL*,"183,797","$29,270.10 ",456,"$11,158.70 ","$19,554.80 ","$35,699.80 ",2016
Appomattox Court House NHP,"303,139","$17,724.10 ",290,"$7,654.80 ","$12,805.90 ","$22,758.60 ",2016
Arches NP*,"1,585,719","$188,802.50 ","3,120","$78,699.10 ","$142,124.60 ","$251,620.40 ",2016
Arkansas Post NMEM,"34,405","$2,011.60 ",29,$882.30 ,"$1,386.80 ","$2,428.50 ",2016
"Arlington House, The Robert E. LeeMemorial NMEM","1,057,500","$61,830.50 ",869,"$33,737.80 ","$52,945.90 ","$84,399.10 ",2016
Assateague Island NS,"2,267,822","$98,272.40 ","1,332","$38,848.10 ","$68,307.90 ","$112,223.30 ",2016
Aztec Ruins NM,"57,693","$3,373.20 ",52,"$1,249.00 ","$2,169.20 ","$3,880.20 ",2016
Badlands NP,"996,263","$63,746.60 ","1,031","$24,935.90 ","$41,060.90 ","$79,640.50 ",2016
Bandelier NM,"198,478","$12,469.90 ",194,"$5,397.10 ","$8,720.10 ","$15,769.40 ",2016
Belmont-Paul Women's Equality NM,"2,703",$51.30 ,0,$28.90 ,$45.70 ,$72.80 ,2016
Bent's Old Fort NHS,"31,948","$1,868.00 ",29,$739.10 ,"$1,318.20 ","$2,302.40 ",2016
Bering Land Bridge NPRES,"2,642","$4,166.70 ",54,"$1,975.00 ","$3,626.00 ","$5,937.00 ",2016
Big Bend NP,"388,290","$34,197.40 ",510,"$11,549.00 ","$20,972.40 ","$37,888.70 ",2016
Big Cypress NPRES,"1,102,147","$88,049.80 ","1,255","$48,767.70 ","$77,452.10 ","$126,017.40 ",2016
Big Hole NB*,"41,795","$2,728.70 ",40,"$1,002.20 ","$1,523.70 ","$2,884.30 ",2016
Big South Fork NRRA*,"684,715","$20,763.30 ",282,"$7,506.60 ","$12,746.90 ","$22,328.70 ",2016
Big Thicket NPRES,"192,809","$12,347.90 ",172,"$5,890.10 ","$9,511.20 ","$15,909.40 ",2016
Bighorn Canyon NRA,"259,485","$11,238.60 ",174,"$4,544.10 ","$7,251.30 ","$13,502.70 ",2016
Biscayne NP,"514,709","$33,004.10 ",461,"$18,188.90 ","$28,395.10 ","$45,979.90 ",2016
Black Canyon Of The Gunnison NP,"238,017","$14,616.10 ",197,"$6,769.00 ","$11,041.60 ","$18,040.20 ",2016
Blue Ridge PKWY,"15,175,578","$979,334.20 ","15,649","$462,871.00 ","$767,939.80 ","$1,341,343.1",2016
Bluestone NSR,"34,139","$1,485.50 ",23,$598.10 ,$963.00 ,"$1,706.50 ",2016
Booker T Washington NM,"23,439","$1,370.50 ",22,$606.70 ,$989.90 ,"$1,779.30 ",2016
Boston NHP,"2,594,495","$151,696.40 ","2,226","$85,199.50 ","$134,130.90 ","$215,088.00 ",2016
Boston African American NHS,"414,170","$24,216.00 ",356,"$13,595.40 ","$21,409.40 ","$34,339.20 ",2016
Brown V Board Of Education NHS,"27,968","$1,635.20 ",28,$855.30 ,"$1,360.30 ","$2,398.90 ",2016
Bryce Canyon NP,"2,365,111","$200,974.10 ","3,036","$78,944.80 ","$139,455.70 ","$244,697.30 ",2016
Buck Island Reef NM,"38,929","$2,424.20 ",28,"$1,101.10 ","$1,864.40 ","$2,897.40 ",2016
Buffalo NR,"1,785,358","$77,556.60 ","1,200","$30,604.10 ","$50,099.50 ","$90,199.70 ",2016
Cabrillo NM,"959,145","$56,079.80 ",819,"$30,201.70 ","$46,315.50 ","$75,163.10 ",2016
Canaveral NS,"1,629,944","$104,943.60 ","1,551","$50,324.90 ","$84,136.10 ","$140,813.90 ",2016
Cane River Creole NHP,"26,863","$1,570.70 ",23,$631.00 ,"$1,079.60 ","$1,913.60 ",2016
Canyon De Chelly NM,"821,406","$54,629.80 ",797,"$19,622.80 ","$34,420.90 ","$62,237.80 ",2016
Canyonlands NP,"776,217","$47,639.70 ",722,"$18,085.80 ","$32,425.20 ","$57,605.30 ",2016
