Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"269,580","$15,412.80 ",242,"$6,965.10 ","$11,847.70 ","$20,885.00 ",2017
Acadia NP,"3,509,271","$284,459.80 ","4,163","$107,621.50 ","$185,248.30 ","$338,873.80 ",2017
Adams NHP,"255,563","$14,611.50 ",200,"$7,971.90 ","$12,984.40 ","$20,679.40 ",2017
African Burial Ground NM,"43,183","$2,469.00 ",31,"$1,392.30 ","$2,253.90 ","$3,381.60 ",2017
Agate Fossil Beds NM*,"32,039","$2,299.00 ",35,$684.10 ,"$1,205.50 ","$2,379.40 ",2017
Alibates Flint Quarries NM,"6,613",$378.10 ,5,$150.20 ,$257.20 ,$465.30 ,2017
Allegheny Portage Railroad NHS,"201,837","$11,539.70 ",179,"$5,649.00 ","$9,085.10 ","$15,724.50 ",2017
Amistad NRA,"1,221,635","$52,103.10 ",695,"$15,795.20 ","$28,427.40 ","$52,168.50 ",2017
Andersonville NHS,"132,149","$7,555.40 ",123,"$2,877.60 ","$4,897.80 ","$9,322.40 ",2017
Andrew Johnson NHS,"53,999","$3,087.40 ",50,"$1,316.00 ","$2,176.00 ","$3,933.50 ",2017
Aniakchak NM&PRES,100,$77.20 ,0,$31.30 ,$72.30 ,$112.20 ,2017
Antietam NB!,"366,508","$20,950.50 ",281,"$10,894.60 ","$18,047.70 ","$28,813.30 ",2017
Apostle Islands NL*,"203,421","$31,763.40 ",454,"$11,492.90 ","$20,403.40 ","$37,497.20 ",2017
Appomattox Court House NHP,"113,961","$6,515.50 ",104,"$2,633.20 ","$4,478.30 ","$8,137.40 ",2017
Arches NP*,"1,539,028","$182,505.50 ","2,869","$75,990.70 ","$132,261.20 ","$241,343.90 ",2017
Arkansas Post NMEM,"36,079","$2,062.50 ",31,$847.50 ,"$1,468.00 ","$2,561.20 ",2017
"Arlington House, The Robert E. LeeMemorial NMEM","726,060","$41,511.40 ",548,"$21,575.80 ","$35,866.70 ","$56,918.90 ",2017
Assateague Island NS,"2,347,166","$99,819.80 ","1,284","$38,734.10 ","$65,660.20 ","$110,986.60 ",2017
Aztec Ruins NM,"52,755","$3,016.20 ",46,"$1,078.30 ","$1,874.40 ","$3,494.70 ",2017
Badlands NP,"1,054,325","$66,005.90 ",952,"$24,990.80 ","$43,349.70 ","$80,730.60 ",2017
Bandelier NM,"209,140","$12,820.30 ",188,"$5,238.20 ","$9,088.60 ","$16,370.60 ",2017
Belmont-Paul Women's Equality NM,"10,894",$201.70 ,3,$106.30 ,$180.60 ,$286.60 ,2017
Bent's Old Fort NHS,"26,398","$1,509.20 ",21,$585.00 ,"$1,001.00 ","$1,779.80 ",2017
Bering Land Bridge NPRES,"2,642","$4,056.70 ",51,"$1,877.80 ","$3,561.10 ","$5,913.50 ",2017
Big Bend NP,"440,275","$37,305.30 ",541,"$12,524.50 ","$22,453.30 ","$40,902.00 ",2017
Big Cypress NPRES,"922,883","$72,014.50 ",957,"$36,393.70 ","$63,084.60 ","$102,401.70 ",2017
Big Hole NB*,"36,718","$2,354.30 ",33,$864.50 ,"$1,286.20 ","$2,457.00 ",2017
Big South Fork NRRA*,"761,200","$22,699.00 ",299,"$8,132.90 ","$13,354.00 ","$24,077.70 ",2017
Big Thicket NPRES,"170,649","$106,990.60 ",136,"$4,800.80 ","$8,358.30 ","#13,515.5",2017
Bighorn Canyon NRA,"231,836","$9,856.10 ",148,"$3,999.60 ","$6,397.90 ","$11,955.30 ",2017
Biscayne NP,"446,961","$27,986.70 ",364,"$14,021.50 ","$23,872.50 ","$38,537.60 ",2017
Black Canyon Of The Gunnison NP,"307,142","$18,656.50 ",236,"$8,240.10 ","$13,927.20 ","$22,906.60 ",2017
Blue Ridge PKWY,"16,093,766","$1,015,625.80 ","15,378","$458,532.20 ","$785,896.50 ","$1,388,562.70 ",2017
Bluestone NSR,"32,029","$1,367.70 ",20,$519.70 ,$866.10 ,"$1,556.20 ",2017
Booker T Washington NM,"25,480","$1,456.80 ",22,$604.30 ,"$1,028.50 ","$1,865.40 ",2017
Boston NHP,"3,425,606","$195,854.00 ","2,690","$107,173.50 ","$174,204.30 ","$277,481.80 ",2017
Boston African American NHS,"413,151","$23,621.30 ",325,"$12,921.20 ","$21,007.00 ","$33,468.50 ",2017
Brown V Board Of Education NHS,"25,205","$1,441.00 ",24,$729.90 ,"$1,236.80 ","$2,177.10 ",2017
Bryce Canyon NP,"2,571,684","$212,958.50 ","3,119","$83,429.60 ","$141,782.30 ","$256,381.00 ",2017
Buck Island Reef NM,"33,082","$2,003.00 ",23,$921.00 ,"$1,603.10 ","$2,543.90 ",2017
Buffalo NR,"1,471,330","$62,634.50 ",911,"$23,003.10 ","$39,175.80 ","$71,109.20 ",2017
Cabrillo NM,"997,902","$57,053.60 ",790,"$29,393.90 ","$47,275.30 ","$76,372.00 ",2017
Canaveral NS,"1,598,587","$100,636.30 ","1,406","$45,510.40 ","$80,615.30 ","$134,396.80 ",2017
Cane River Creole NHP,"30,117","$1,721.90 ",24,$684.20 ,"$1,183.90 ","$2,112.60 ",2017
Canyon De Chelly NM,"825,660","$53,354.90 ",792,"$17,640.30 ","$31,824.50 ","$61,687.50 ",2017
Canyonlands NP,"742,272","$44,541.80 ",640,"$16,852.20 ","$28,871.10 ","$52,753.10 ",2017
Cape Cod NS,"4,125,419","$176,513.10 ","2,103","$89,182.70 ","$142,731.40 ","$221,510.90 ",2017
Cape Hatteras NS,"2,433,704","$151,624.80 ","2,222","$59,797.70 ","$103,924.10 ","$186,562.20 ",2017
Cape Krusenstern NM,"15,000","$23,031.60 ",301,"$10,661.30 ","$20,217.80 ","$33,573.30 ",2017
Cape Lookout NS,"399,358","$20,897.10 ",309,"$7,230.50 ","$12,230.80 ","$23,206.00 ",2017
Capitol Reef NP*,"1,150,165","$81,284.40 ","1,100","$29,476.70 ","$50,867.70 ","$91,814.00 ",2017
Capulin Volcano NM*,"59,616","$1,756.70 ",26,$534.90 ,$884.80 ,"$1,719.30 ",2017
Carl Sandburg Home NHS,"72,777","$4,160.90 ",63,"$1,693.20 ","$2,873.70 ","$5,138.20 ",2017
Carlsbad Caverns NP,"520,026","$32,750.00 ",458,"$11,451.90 ","$19,573.00 ","$36,169.00 ",2017
Carter G. Woodson Home NHS,"1,884",$34.90 ,0,$18.40 ,$31.20 ,$49.50 ,2017
Casa Grande Ruins NM,"75,583","$4,321.40 ",65,"$2,306.00 ","$3,814.40 ","$6,413.70 ",2017
Castillo De San Marcos NM,"876,976","$50,139.80 ",776,"$22,519.20 ","$38,928.50 ","$67,665.60 ",2017
Castle Clinton NM,"4,737,113","$114,376.70 ","1,206","$53,475.40 ","$85,710.50 ","$130,282.70 ",2017
Catoctin Mountain P,"236,243","$14,326.10 ",183,"$7,225.30 ","$12,084.10 ","$19,269.90 ",2017
Cedar Breaks NM,"909,199","$57,185.20 ",810,"$21,309.00 ","$36,258.10 ","$65,711.60 ",2017
Cesar E. Chavez NM,"15,472",$884.60 ,11,$462.80 ,$743.90 ,"$1,219.60 ",2017
Chaco Culture NHP,"55,333","$2,928.70 ",44,"$1,152.30 ","$1,982.80 ","$3,638.30 ",2017
Chamizal NMEM,"86,400","$4,939.80 ",77,"$1,820.90 ","$3,226.30 ","$6,071.70 ",2017
Channel Islands NP,"383,687","$23,095.10 ",308,"$12,296.30 ","$19,927.00 ","$32,268.80 ",2017
Charles Pinckney NHS,"53,745","$3,072.80 ",45,"$1,295.00 ","$2,274.50 ","$3,825.10 ",2017
Charles Young Buffalo Soldiers NM,"12,405",$709.20 ,10,$314.20 ,$518.90 ,$924.40 ,2017
Chattahoochee River NRA,"2,768,500","$118,221.70 ","1,723","$57,952.90 ","$97,127.40 ","$164,861.70 ",2017
Chesapeake & Ohio Canal NHP,"4,859,573","$89,492.60 ","1,237","$46,564.40 ","$78,936.80 ","$127,569.40 ",2017
Chickamauga & Chattanooga NMP!,"994,537","$56,832.50 ",883,"$22,192.80 ","$37,384.90 ","$69,325.30 ",2017
Chickasaw NRA*,"1,533,684","$24,089.60 ",244,"$6,256.20 ","$9,990.80 ","$18,271.20 ",2017
Chiricahua NM,"63,132","$3,650.60 ",52,"$1,185.80 ","$1,992.10 ","$3,813.60 ",2017
Christiansted NHS,"96,780","$5,533.30 ",69,"$2,650.30 ","$4,518.40 ","$7,221.10 ",2017
City Of Rocks NRES,"130,276","$7,448.40 ",111,"$2,870.20 ","$4,621.30 ","$8,429.20 ",2017
Clara Barton NHSX,0,$0.00 ,0,$0.00 ,$0.00 ,$0.00 ,2017
Colonial NHP,"3,333,448","$190,585.00 ","3,014","$87,016.90 ","$149,910.20 ","$264,867.90 ",2017
Colorado NM,"375,036","$22,928.90 ",329,"$8,985.70 ","$15,518.20 ","$28,028.60 ",2017
Congaree NP*,"159,595","$7,827.50 ",101,"$2,856.70 ","$5,168.70 ","$9,068.20 ",2017
Coronado NMEM,"131,615","$7,524.90 ",113,"$3,114.60 ","$5,290.10 ","$9,394.40 ",2017
Cowpens NB,"212,692","$13,388.40 ",198,"$6,217.40 ","$10,684.10 ","$18,443.70 ",2017
Crater Lake NP,"711,749","$59,899.50 ",981,"$26,785.40 ","$43,488.30 ","$80,578.30 ",2017
Craters Of The Moon NM&PRES*,"285,228","$9,713.10 ",146,"$3,452.00 ","$5,565.00 ","$10,860.10 ",2017
Cumberland Gap NHP,"737,547","$46,142.40 ",673,"$18,994.90 ","$32,283.20 ","$57,981.10 ",2017
Cumberland Island NS,"51,938","$2,122.40 ",30,$917.10 ,"$1,527.00 ","$2,638.50 ",2017
Curecanti NRA,"1,041,446","$44,112.30 ",551,"$17,894.90 ","$30,011.70 ","$49,922.30 ",2017
Cuyahoga Valley NP,"2,226,879","$63,098.60 ",931,"$26,600.70 ","$44,137.60 ","$78,148.10 ",2017
Dayton Aviation Heritage NHP*,"99,700","$5,760.20 ",96,"$3,056.40 ","$5,161.70 ","$8,969.40 ",2017
De Soto NMEM,"233,355","$13,341.70 ",204,"$6,643.70 ","$11,315.70 ","$19,233.30 ",2017
Death Valley NP,"1,294,827","$106,839.20 ","1,393","$49,949.80 ","$84,839.40 ","$137,800.90 ",2017
Delaware Water Gap NRA*,"3,400,945","$113,574.10 ","1,625","$65,730.90 ","$105,856.00 ","$165,482.20 ",2017
Denali NP&PRES,"642,809","$632,370.40 ","8,154","$293,019.80 ","$558,321.10 ","$924,184.00 ",2017
Devils Postpile NM,"109,571","$6,901.40 ",96,"$2,835.80 ","$4,653.10 ","$8,188.20 ",2017
Devils Tower NM,"499,030","$31,056.00 ",442,"$11,959.30 ","$21,042.70 ","$38,687.90 ",2017
Dinosaur NM,"315,859","$18,479.40 ",231,"$7,105.80 ","$12,078.10 ","$20,400.20 ",2017
Dry Tortugas NP,"54,280","$3,190.30 ",38,"$1,252.90 ","$2,152.60 ","$3,496.40 ",2017
Edgar Allan Poe NHS,"14,878",$850.70 ,10,$473.50 ,$770.30 ,"$1,240.80 ",2017
Effigy Mounds NM*,"67,006","$4,170.50 ",67,"$1,636.70 ","$2,800.70 ","$5,064.00 ",2017
Eisenhower NHS,"50,598","$2,892.80 ",39,"$1,506.10 ","$2,474.70 ","$3,949.60 ",2017
El Malpais NM,"161,526","$9,235.10 ",149,"$3,808.60 ","$6,573.70 ","$12,147.40 ",2017
El Morro NM,"59,012","$3,624.40 ",52,"$1,009.90 ","$1,893.00 ","$3,790.80 ",2017
Eleanor Roosevelt NHS,"67,620","$3,866.10 ",49,"$1,959.90 ","$3,268.10 ","$5,075.30 ",2017
Eugene O'Neill NHS,"3,931",$224.80 ,3,$124.50 ,$196.70 ,$309.90 ,2017
Everglades NP,"1,018,557","$97,398.30 ","1,320","$51,298.30 ","$89,354.80 ","$144,384.70 ",2017
Federal Hall NMEM,"325,498","$18,609.80 ",222,"$10,500.10 ","$16,984.10 ","$25,447.80 ",2017
Fire Island NS,"456,393","$19,430.90 ",209,"$10,044.50 ","$16,256.30 ","$24,178.70 ",2017
First Ladies NHS,"13,085",$748.10 ,10,$378.70 ,$626.00 ,"$1,082.70 ",2017
Flight 93 NMEM,"364,083","$20,815.90 ",325,"$10,215.20 ","$16,448.60 ","$28,446.20 ",2017
Florissant Fossil Beds NM,"71,763","$4,103.00 ",60,"$2,151.80 ","$3,596.70 ","$5,933.00 ",2017
Ford's Theatre NHS,"744,266","$13,780.00 ",185,"$7,262.60 ","$12,335.00 ","$19,555.30 ",2017
Fort Bowie NHS,"8,491",$485.50 ,8,$197.20 ,$335.70 ,$597.20 ,2017
Fort Caroline NMEM,"243,961","$13,948.10 ",214,"$6,539.50 ","$11,220.60 ","$19,362.50 ",2017
Fort Davis NHS,"60,911","$3,482.50 ",50,"$1,050.70 ","$1,970.60 ","$3,660.90 ",2017
Fort Donelson NB,"208,817","$13,151.20 ",182,"$6,091.00 ","$10,197.00 ","$17,139.10 ",2017
Fort Frederica NM,"188,089","$10,753.70 ",165,"$4,848.20 ","$8,255.10 ","$14,301.60 ",2017
Fort Laramie NHS,"61,513","$3,516.90 ",54,"$1,241.40 ","$2,220.30 ","$4,118.50 ",2017
Fort Larned NHS*,"29,188","$1,730.90 ",26,$552.70 ,$980.10 ,"$1,921.30 ",2017
Fort Matanzas NM,"578,981","$33,102.40 ",510,"$14,996.50 ","$25,931.90 ","$44,919.20 ",2017
Fort McHenry NM&SHRINE,"591,861","$33,838.80 ",453,"$17,685.80 ","$29,545.70 ","$46,918.20 ",2017
Fort Necessity NB!,"294,146","$16,813.50 ",267,"$8,523.20 ","$13,767.00 ","$23,814.90 ",2017
Fort Point NHS,"1,532,540","$87,620.70 ","1,133","$48,522.20 ","$76,658.00 ","$120,827.80 ",2017
Fort Pulaski NM,"360,591","$22,712.10 ",306,"$9,288.50 ","$16,457.20 ","$27,910.30 ",2017
Fort Raleigh NHS,"274,981","$15,721.60 ",242,"$6,417.50 ","$10,928.50 ","$19,637.50 ",2017
Fort Scott NHS*,"28,947",$506.90 ,6,$154.30 ,$249.40 ,$490.20 ,2017
Fort Smith NHS,"141,915","$8,113.80 ",127,"$3,092.60 ","$5,386.30 ","$9,947.60 ",2017
Fort Stanwix NM*,"106,936","$5,743.60 ",78,"$2,471.40 ","$4,289.40 ","$7,220.00 ",2017
Fort Sumter NM,"896,569","$51,260.00 ",723,"$21,602.30 ","$37,946.00 ","$63,912.00 ",2017
Fort Union NM*,"11,676",$770.70 ,10,$295.50 ,$487.10 ,$852.10 ,2017
Fort Union Trading Post NHS*,"13,329","$1,043.80 ",12,$375.60 ,$577.20 ,$962.50 ,2017
Fort Vancouver NHS,"1,081,489","$61,832.50 ","1,005","$31,426.40 ","$51,385.30 ","$90,246.40 ",2017
Fort Washington P,"317,470","$18,150.90 ",237,"$9,410.70 ","$15,633.10 ","$24,654.90 ",2017
Fossil Butte NM*,"21,978","$1,072.80 ",13,$390.40 ,$650.90 ,"$1,125.20 ",2017
Franklin Delano Roosevelt MEM,"3,507,402","$64,939.20 ",864,"$34,225.50 ","$58,129.40 ","$92,155.70 ",2017
Frederick Douglass NHS,"76,569","$1,417.70 ",18,$747.00 ,"$1,268.20 ","$2,007.60 ",2017
Frederick Law Olmsted NHS,"11,387",$651.00 ,9,$355.20 ,$578.50 ,$923.00 ,2017
Fredericksburg & Spotsylvania NMP,"919,311","$52,560.30 ",687,"$26,688.40 ","$44,198.80 ","$70,377.50 ",2017
Friendship Hill NHS,"39,377","$2,251.30 ",37,"$1,134.40 ","$1,835.10 ","$3,167.50 ",2017
Gates Of The Arctic NP&PRES,"11,177","$17,161.40 ",223,"$7,944.00 ","$15,064.80 ","$25,016.40 ",2017
Gateway NRA,"9,190,609","$222,025.80 ","2,374","$104,118.40 ","$166,463.50 ","$254,579.40 ",2017
Gauley River NRA,"118,733","$5,046.30 ",74,"$1,912.00 ","$3,136.30 ","$5,623.60 ",2017
General Grant NMEM,"97,005","$5,546.10 ",67,"$3,126.80 ","$5,064.60 ","$7,602.70 ",2017
George Rogers Clark NHP,"117,268","$6,704.60 ",102,"$2,568.30 ","$4,384.90 ","$8,038.70 ",2017
George Washington MEM PKWY,"7,562,793","$48,242.60 ",817,"$26,315.10 ","$41,676.50 ","$69,771.90 ",2017
George Washington Birthplace NM*,"122,456","$5,464.30 ",67,"$2,727.30 ","$4,484.00 ","$7,073.40 ",2017
George Washington Carver NM*,"46,465",$838.20 ,12,$314.80 ,$511.40 ,$931.70 ,2017
Gettysburg NMP,"1,038,650","$65,268.00 ",832,"$32,945.10 ","$55,118.10 ","$87,853.40 ",2017
Gila Cliff Dwellings NM,"78,872","$4,509.40 ",69,"$1,334.10 ","$2,325.10 ","$4,664.20 ",2017
Glacier NP,"3,305,513","$275,137.30 ","4,602","$121,084.80 ","$194,557.50 ","$368,641.40 ",2017
Glacier Bay NP&PRES,"547,057","$113,804.70 ","2,090","$58,757.90 ","$94,544.60 ","$167,810.30 ",2017
Glen Canyon NRA,"4,574,940","$360,729.20 ","5,060","$137,357.20 ","$235,944.10 ","$425,140.80 ",2017
Golden Gate NRA,"14,981,897","$364,732.10 ","4,085","$167,936.80 ","$264,061.30 ","$418,805.20 ",2017
Golden Spike NHS*,"67,811","$3,799.30 ",58,"$1,771.40 ","$2,961.50 ","$5,258.90 ",2017
