Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"228,140","$13,669 ",202,"$6,138 ","$10,709 ","$18,484 ",2020
Acadia NPa,"2,669,034","$303,734 ","4,368","$134,853 ","$240,528 ","$411,030 ",2020
Adams NHP,"6,937",$416 ,5,$231 ,$379 ,$595 ,2020
African Burial Ground NM,"7,907",$474 ,6,$262 ,$443 ,$661 ,2020
Agate Fossil Beds NMa,"8,722",$657 ,9,$208 ,$361 ,$690 ,2020
Alibates Flint Quarries NM,"4,269",$256 ,4,$102 ,$173 ,$316 ,2020
Allegheny Portage Railroad NHS,"136,030","$8,150 ",129,"$4,071 ","$6,581 ","$11,459 ",2020
Amistad NRA,"1,424,139","$64,030 ",825,"$20,405 ","$35,888 ","$65,732 ",2020
Andersonville NHS,"63,800","$3,823 ",63,"$1,407 ","$2,467 ","$4,788 ",2020
Andrew Johnson NHS,"46,093","$2,762 ",40,"$1,228 ","$2,042 ","$3,577 ",2020
Aniakchak NM&PRES,36,$65 ,1,$27 ,$61 ,$92 ,2020
Antietam NB,"85,884","$5,146 ",68,"$2,759 ","$4,577 ","$7,216 ",2020
Apostle Islands NLa,"219,009","$35,498 ",504,"$12,968 ","$23,099 ","$42,392 ",2020
Appomattox Court House NHP,"57,513","$3,446 ",52,"$1,395 ","$2,401 ","$4,306 ",2020
Arches NPa,"1,238,083","$151,684 ","2,323","$61,839 ","$109,729 ","$199,487 ",2020
Arkansas Post NMEM,"29,652","$1,777 ",25,$707 ,"$1,253 ","$2,191 ",2020
"Arlington House, The Robert E. Lee Memorial NMEMc",0,$0 ,0,$0 ,$0 ,$0 ,2020
Assateague Island NS,"2,481,659","$111,372 ","1,402","$44,007 ","$73,713 ","$124,986 ",2020
Aztec Ruins NM,"30,223","$1,811 ",27,$643 ,"$1,145 ","$2,128 ",2020
Badlands NP,"916,932","$60,511 ",847,"$23,940 ","$41,344 ","$76,026 ",2020
Bandelier NM,"94,948","$6,141 ",88,"$2,558 ","$4,442 ","$7,925 ",2020
Belmont-Paul Women's Equality NM,"2,535",$49 ,1,$27 ,$45 ,$71 ,2020
Bent's Old Fort NHS,"12,438",$745 ,10,$301 ,$527 ,$919 ,2020
Bering Land Bridge NPRES,"2,642","$4,067 ",50,"$1,913 ","$3,582 ","$5,793 ",2020
Big Bend NP,"393,907","$33,539 ",486,"$10,916 ","$20,053 ","$37,678 ",2020
Big Cypress NPRES,"1,181,930","$96,331 ","1,273","$48,430 ","$84,982 ","$138,557 ",2020
Big Hole NBa,"36,234","$2,595 ",34,$948 ,"$1,446 ","$2,687 ",2020
Big South Fork NRRAa,"772,625","$24,335 ",295,"$9,007 ","$15,130 ","$26,361 ",2020
Big Thicket NPRES,"309,053","$20,309 ",256,"$9,621 ","$16,569 ","$26,737 ",2020
Bighorn Canyon NRA,"212,295","$9,483 ",134,"$3,888 ","$6,254 ","$11,432 ",2020
Biscayne NP,"402,770","$26,489 ",347,"$13,169 ","$22,824 ","$37,147 ",2020
Black Canyon of the Gunnison NP,"341,619","$21,782 ",271,"$9,279 ","$16,230 ","$26,811 ",2020
Blue Ridge PKWYa,"14,099,484","$1,067,321 ","15,472","$420,072 ","$716,910 ","$1,300,099 ",2020
Bluestone NSR,"25,208","$1,134 ",16,$438 ,$739 ,"$1,313 ",2020
Booker T Washington NM,"22,482","$1,347 ",21,$571 ,$975 ,"$1,758 ",2020
Boston African American NHS,"89,616","$5,369 ",70,"$2,991 ","$4,908 ","$7,699 ",2020
Boston Harbor Islands NRAb,"71,991","$3,239 ",39,"$1,681 ","$2,742 ","$4,304 ",2020
Boston NHP,"277,169","$16,606 ",217,"$9,252 ","$15,181 ","$23,808 ",2020
Brown V Board of Education NHS,"4,064",$244 ,4,$126 ,$212 ,$372 ,2020
Bryce Canyon NP,"1,464,655","$125,173 ","1,810","$47,009 ","$83,256 ","$151,322 ",2020
Buck Island Reef NM,"16,033",$971 ,10,$434 ,$788 ,"$1,214 ",2020
Buffalo NR,"1,478,846","$66,349 ",960,"$23,654 ","$41,200 ","$76,072 ",2020
Cabrillo NM,"523,878","$31,388 ",411,"$16,367 ","$26,979 ","$42,707 ",2020
Canaveral NSa,"1,162,949","$44,493 ",581,"$20,204 ","$35,672 ","$59,211 ",2020
Cane River Creole NHP,"17,431","$1,044 ",15,$398 ,$727 ,"$1,285 ",2020
Canyon De Chelly NM,"76,751","$5,422 ",78,"$1,797 ","$3,311 ","$6,395 ",2020
Canyonlands NP,"493,914","$30,975 ",436,"$11,602 ","$20,276 ","$36,993 ",2020
Cape Cod NSa,"4,083,504","$522,958 ","6,417","$240,492 ","$418,002 ","$675,797 ",2020
Cape Hatteras NS,"2,648,522","$172,180 ","2,474","$68,598 ","$121,037 ","$216,152 ",2020
Cape Krusenstern NM,"11,369","$17,498 ",215,"$8,230 ","$15,410 ","$24,923 ",2020
Cape Lookout NS,"488,332","$21,905 ",304,"$7,505 ","$12,518 ","$23,491 ",2020
Capitol Reef NPa,"981,038","$72,429 ",954,"$25,289 ","$45,286 ","$82,231 ",2020
Capulin Volcano NMa,"63,335","$1,957 ",27,$623 ,"$1,052 ","$1,976 ",2020
Carl Sandburg Home NHS,"42,672","$2,557 ",37,"$1,089 ","$1,840 ","$3,221 ",2020
Carlsbad Caverns NP,"183,835","$12,100 ",162,"$4,413 ","$7,464 ","$13,639 ",2020
Carter G. Woodson Home NHS,548,$11 ,0,$6 ,$10 ,$15 ,2020
Casa Grande Ruins NM,"44,269","$2,652 ",39,"$1,382 ","$2,373 ","$3,956 ",2020
Castillo De San Marcos NM,"251,061","$15,042 ",227,"$6,781 ","$11,775 ","$20,518 ",2020
Castle Clinton NM,"633,792","$16,106 ",162,"$7,618 ","$12,560 ","$18,852 ",2020
Catoctin Mountain P,"539,983","$35,440 ",448,"$18,670 ","$31,142 ","$49,041 ",2020
Cedar Breaks NM,"845,866","$55,546 ",768,"$20,093 ","$35,528 ","$64,455 ",2020
Cesar E. Chavez NM,"5,668",$339 ,4,$183 ,$297 ,$471 ,2020
Chaco Culture NHP,"8,231",$525 ,8,$213 ,$374 ,$675 ,2020
Chamizal NMEM,"19,180","$1,149 ",17,$460 ,$782 ,"$1,445 ",2020
Channel Islands NP,"167,290","$9,816 ",122,"$5,348 ","$8,686 ","$13,679 ",2020
Charles Pinckney NHS,"23,723","$1,421 ",19,$620 ,"$1,084 ","$1,795 ",2020
Charles Young Buffalo Soldiers NM,"2,461",$147 ,2,$66 ,$110 ,$195 ,2020
Chattahoochee River NRA,"3,066,878","$137,982 ","1,966","$68,174 ","$115,257 ","$194,271 ",2020
Chesapeake & Ohio Canal NHP,"4,888,436","$94,475 ","1,270","$50,814 ","$85,913 ","$137,032 ",2020
Chickamauga & Chattanooga NMP,"678,414","$40,639 ",608,"$16,273 ","$27,771 ","$50,533 ",2020
Chickasaw NRAa,"1,348,122","$22,336 ",218,"$5,787 ","$9,467 ","$17,456 ",2020
Chiricahua NM,"44,794","$2,746 ",39,$836 ,"$1,510 ","$2,926 ",2020
Christiansted NHS,"23,816","$1,427 ",16,$670 ,"$1,198 ","$1,852 ",2020
City of Rocks NRES,"110,202","$6,603 ",96,"$2,479 ","$4,192 ","$7,643 ",2020
Clara Barton NHS,449,$27 ,0,$14 ,$24 ,$38 ,2020
Colonial NHPa,"2,946,595","$301,179 ","4,549","$114,145 ","$211,882 ","$378,328 ",2020
Colorado NM,"435,625","$28,060 ",392,"$10,836 ","$19,134 ","$34,356 ",2020
Congaree NPa,"119,306","$6,186 ",77,"$2,387 ","$4,259 ","$7,321 ",2020
Coronado NMEM,"156,200","$9,359 ",143,"$3,709 ","$6,640 ","$11,906 ",2020
Cowpens NB,"226,902","$14,938 ",211,"$7,248 ","$12,191 ","$20,649 ",2020
Crater Lake NP,"670,501","$58,562 ",843,"$27,714 ","$45,622 ","$78,495 ",2020
Craters of the Moon NM&PRESa,"250,871","$8,880 ",126,"$3,175 ","$5,374 ","$10,188 ",2020
Cumberland Gap NHP,"735,447","$47,992 ",653,"$20,516 ","$35,278 ","$61,463 ",2020
Cumberland Island NS,"37,295","$1,614 ",22,$704 ,"$1,178 ","$2,022 ",2020
Curecanti NRA,"921,584","$41,107 ",501,"$16,272 ","$28,032 ","$46,653 ",2020
Cuyahoga Valley NPa,"2,755,628","$48,457 ",709,"$24,396 ","$40,703 ","$70,207 ",2020
Dayton Aviation Heritage NHPa,"39,852","$2,408 ",39,"$1,306 ","$2,199 ","$3,762 ",2020
De Soto NMEM,"196,114","$11,750 ",175,"$5,786 ","$10,000 ","$16,971 ",2020
Death Valley NP,"820,023","$68,752 ",845,"$33,079 ","$55,548 ","$88,425 ",2020
Delaware Water Gap NRAa,"4,068,529","$143,608 ","1,968","$82,119 ","$136,771 ","$211,591 ",2020
Denali NP&PRES,"54,849","$57,713 ",703,"$27,170 ","$51,229 ","$82,511 ",2020
Devils Postpile NM,"108,589","$7,149 ",89,"$3,030 ","$5,020 ","$8,392 ",2020
Devils Tower NM,"423,997","$27,914 ",385,"$11,394 ","$19,765 ","$35,690 ",2020
Dinosaur NM,"264,145","$16,516 ",202,"$6,312 ","$10,941 ","$18,521 ",2020
Dry Tortugas NP,"48,542","$2,981 ",34,"$1,206 ","$2,080 ","$3,362 ",2020
Dwight D. Eisenhower MEMb,"187,328","$3,638 ",47,"$1,983 ","$3,356 ","$5,250 ",2020
Edgar Allan Poe NHS,"2,417",$145 ,2,$83 ,$134 ,$215 ,2020
Effigy Mounds NMa,"18,225","$1,192 ",19,$473 ,$811 ,"$1,489 ",2020
Eisenhower NHS,"7,926",$475 ,6,$254 ,$419 ,$661 ,2020
El Malpais NM,"139,336","$8,348 ",130,"$3,488 ","$6,028 ","$10,995 ",2020
El Morro NM,"36,328","$2,343 ",33,$661 ,"$1,227 ","$2,449 ",2020
Eleanor Roosevelt NHS,"9,575",$574 ,7,$291 ,$492 ,$758 ,2020
Eugene O'Neill NHS,"14,423",$864 ,10,$495 ,$785 ,"$1,190 ",2020
Everglades NP,"702,319","$69,129 ",944,"$36,046 ","$63,416 ","$103,057 ",2020
Federal Hall NMEM,"13,823",$828 ,10,$459 ,$775 ,"$1,154 ",2020
Fire Island NS,"250,449","$11,166 ",120,"$5,650 ","$9,526 ","$14,156 ",2020
First Ladies NHS,"2,406",$144 ,2,$74 ,$124 ,$214 ,2020
Flight 93 NMEM,"244,364","$14,641 ",229,"$7,313 ","$11,866 ","$20,608 ",2020
Florissant Fossil Beds NM,"61,081","$3,660 ",51,"$1,909 ","$3,271 ","$5,352 ",2020
Ford's Theatre NHS,"56,058","$1,089 ",14,$593 ,"$1,004 ","$1,571 ",2020
Fort Bowie NHS,"6,455",$387 ,6,$151 ,$271 ,$485 ,2020
Fort Caroline NMEM,"404,476","$24,234 ",366,"$11,500 ","$19,833 ","$34,203 ",2020
Fort Davis NHS,"35,920","$2,152 ",30,$723 ,"$1,283 ","$2,327 ",2020
Fort Donelson NB,"325,496","$21,429 ",261,"$10,155 ","$17,023 ","$27,475 ",2020
Fort Frederica NM,"210,893","$12,636 ",184,"$5,753 ","$9,793 ","$16,806 ",2020
Fort Laramie NHS,"26,066","$1,562 ",23,$559 ,"$1,007 ","$1,848 ",2020
Fort Larned NHSa,"21,895","$1,357 ",20,$444 ,$784 ,"$1,527 ",2020
Fort Matanzas NM,"543,590","$32,569 ",493,"$14,804 ","$25,720 ","$44,752 ",2020
Fort McHenry NM&SHRINE,"163,224","$9,779 ",130,"$5,250 ","$8,762 ","$13,793 ",2020
Fort Necessity NB,"199,802","$11,966 ",189,"$6,173 ","$10,069 ","$17,407 ",2020
Fort Point NHS,"884,537","$52,996 ",620,"$30,370 ","$48,135 ","$73,000 ",2020
Fort Pulaski NM,"357,971","$23,567 ",306,"$9,882 ","$17,443 ","$29,136 ",2020
Fort Raleigh NHS,"153,519","$9,198 ",137,"$3,812 ","$6,617 ","$11,760 ",2020
