Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"238,225","$14,169 ",210,"$6,351 ","$11,082 ","$19,136 ",2019
Acadia NPa,"3,437,286","$379,517 ","5,474","$168,284 ","$298,961 ","$510,962 ",2019
Adams NHP,"187,400","$11,146 ",146,"$6,179 ","$10,145 ","$15,926 ",2019
African Burial Ground NM,"47,428","$2,821 ",33,"$1,558 ","$2,633 ","$3,928 ",2019
Agate Fossil Beds NMa,"16,657","$1,246 ",17,$393 ,$683 ,"$1,306 ",2019
Alibates Flint Quarries NM,"8,848",$526 ,8,$208 ,$355 ,$649 ,2019
Allegheny Portage Railroad NHS,"189,189","$11,253 ",178,"$5,612 ","$9,070 ","$15,800 ",2019
Amistad NRA,"1,267,900","$56,596 ",730,"$17,997 ","$31,646 ","$57,993 ",2019
Andersonville NHS,"103,636","$6,164 ",101,"$2,265 ","$3,971 ","$7,711 ",2019
Andrew Johnson NHS,"51,189","$3,045 ",44,"$1,352 ","$2,247 ","$3,939 ",2019
Aniakchak NM&PRES,100,$70 ,1,$29 ,$66 ,$99 ,2019
Antietam NB,"287,344","$17,086 ",226,"$9,146 ","$15,171 ","$23,926 ",2019
Apostle Islands NLa,"240,613","$38,732 ",551,"$14,127 ","$25,150 ","$46,194 ",2019
Appomattox Court House NHP,"102,398","$6,090 ",91,"$2,461 ","$4,236 ","$7,601 ",2019
Arches NPa,"1,659,702","$201,299 ","3,089","$81,926 ","$145,353 ","$264,383 ",2019
Arkansas Post NMEM,"28,519","$1,696 ",24,$674 ,"$1,194 ","$2,089 ",2019
"Arlington House, The Robert E.Lee Memorial NMEMc",0,$0 ,0,$0 ,$0 ,$0 ,2019
Assateague Island NS,"2,344,536","$104,353 ","1,316","$41,146 ","$68,870 ","$116,822 ",2019
Aztec Ruins NM,"63,777","$3,793 ",56,"$1,344 ","$2,395 ","$4,453 ",2019
Badlands NP,"970,998","$63,503 ",890,"$25,075 ","$43,288 ","$79,643 ",2019
Bandelier NM,"200,741","$12,746 ",182,"$5,294 ","$9,182 ","$16,384 ",2019
Belmont-Paul Women's Equality NM,"9,912",$191 ,2,$104 ,$176 ,$276 ,2019
Bent's Old Fort NHS,"21,674","$1,289 ",18,$520 ,$911 ,"$1,587 ",2019
Bering Land Bridge NPRES,"2,642","$4,041 ",50,"$1,896 ","$3,550 ","$5,749 ",2019
Big Bend NP,"463,833","$41,295 ",601,"$13,546 ","$24,853 ","$46,648 ",2019
Big Cypress NPRES,"1,007,471","$81,506 ","1,080","$40,906 ","$71,777 ","$117,080 ",2019
Big Hole NBa,"45,861","$3,264 ",43,"$1,190 ","$1,814 ","$3,373 ",2019
Big South Fork NRRAa,"750,494","$23,592 ",286,"$8,686 ","$14,642 ","$25,547 ",2019
Big Thicket NPRES,"255,925","$16,698 ",211,"$7,896 ","$13,596 ","$21,952 ",2019
Bighorn Canyon NRA,"249,658","$11,106 ",157,"$4,542 ","$7,316 ","$13,387 ",2019
Biscayne NP,"708,522","$46,249 ",606,"$22,947 ","$39,769 ","$64,758 ",2019
Black Canyon Of The Gunnison NP,"432,818","$27,599 ",344,"$11,743 ","$20,556 ","$33,976 ",2019
Blue Ridge PKWYa,"14,976,084","$1,125,413 ","16,341","$442,244 ","$754,647 ","$1,369,146 ",2019
Bluestone NSR,"37,663","$1,683 ",23,$648 ,"$1,095 ","$1,945 ",2019
Booker T Washington NM,"24,639","$1,466 ",23,$620 ,"$1,059 ","$1,911 ",2019
Boston African American NHS,"419,585","$24,956 ",327,"$13,877 ","$22,772 ","$35,737 ",2019
Boston NHP,"3,201,833","$190,442 ","2,495","$105,922 ","$173,790 ","$272,675 ",2019
Brown V Board Of Education NHS,"21,413","$1,274 ",21,$660 ,"$1,108 ","$1,945 ",2019
Bryce Canyon NP,"2,594,904","$222,115 ","3,206","$83,420 ","$147,909 ","$268,899 ",2019
Buck Island Reef NM,"37,086","$2,341 ",25,"$1,046 ","$1,907 ","$2,931 ",2019
Buffalo NR,"1,326,283","$59,181 ",857,"$21,058 ","$36,695 ","$67,794 ",2019
Cabrillo NM,"761,485","$45,292 ",595,"$23,576 ","$38,863 ","$61,545 ",2019
Canaveral NSa,"1,884,122","$71,561 ",937,"$32,434 ","$57,264 ","$95,095 ",2019
Cane River Creole NHP,"29,922","$1,780 ",25,$677 ,"$1,237 ","$2,186 ",2019
Canyon De Chelly NM,"460,757","$31,146 ",444,"$10,262 ","$18,858 ","$36,405 ",2019
Canyonlands NP,"733,995","$45,909 ",647,"$17,170 ","$30,020 ","$54,806 ",2019
Cape Cod NSa,"4,096,103","$520,440 ","6,399","$239,073 ","$415,535 ","$672,015 ",2019
Cape Hatteras NS,"2,606,631","$168,360 ","2,422","$66,950 ","$118,132 ","$211,088 ",2019
Cape Krusenstern NM,"16,226","$24,805 ",305,"$11,642 ","$21,792 ","$35,294 ",2019
Cape Lookout NS,"455,527","$20,292 ",282,"$6,937 ","$11,570 ","$21,724 ",2019
Capitol Reef NPa,"1,226,519","$89,789 ","1,185","$31,281 ","$55,996 ","$101,742 ",2019
Capulin Volcano NMa,"81,617","$2,504 ",35,$796 ,"$1,343 ","$2,524 ",2019
Carl Sandburg Home NHS,"78,145","$4,648 ",68,"$1,976 ","$3,340 ","$5,848 ",2019
Carlsbad Caverns NP,"440,691","$28,806 ",385,"$10,485 ","$17,735 ","$32,428 ",2019
