Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"169,515","$9,121.80 ",137,"$3,942.90 ","$6,781.60 ","$11,529.90 ",2012
Acadia NP,"2,431,052","$200,920.00 ","3,089","$92,344.30 ","$152,518.70 ","$264,000.60 ",2012
Adams NHP,"336,031","$18,082.20 ",244,"$9,443.30 ","$15,317.30 ","$23,901.90 ",2012
African Burial Ground NM,"77,624","$4,177.00 ",48,"$2,268.10 ","$3,670.30 ","$5,365.30 ",2012
Agate Fossil Beds NM*,"11,824",$798.90 ,10,$216.10 ,$405.00 ,$770.80 ,2012
Alibates Flint Quarries NM,"3,383",$182.00 ,3,$59.50 ,$117.60 ,$206.00 ,2012
Allegheny Portage Railroad NHS,"138,864","$7,472.40 ",113,"$3,336.00 ","$5,511.00 ","$9,409.40 ",2012
Amistad NRA,"1,367,502","$54,971.70 ",689,"$14,877.90 ","$29,549.70 ","$51,611.80 ",2012
Andersonville NHS,"122,883","$6,612.50 ",99,"$2,250.30 ","$4,162.30 ","$7,471.50 ",2012
Andrew Johnson NHS,"51,261","$2,758.40 ",40,"$1,121.20 ","$1,947.60 ","$3,319.30 ",2012
Aniakchak NM&PRES,19,$28.90 ,0,$14.40 ,$24.30 ,$40.30 ,2012
Antietam NB,"510,921","$27,493.30 ",361,"$14,004.10 ","$22,634.20 ","$35,085.00 ",2012
Apostle Islands NL*,"163,419","$24,030.60 ",330,"$7,686.00 ","$14,999.50 ","$25,991.00 ",2012
Appomattox Court House NHP,"320,668","$17,255.50 ",249,"$6,396.00 ","$11,378.10 ","$19,666.40 ",2012
Arches NP*,"1,070,577","$115,859.90 ","1,708","$44,827.10 ","$79,851.30 ","$138,019.20 ",2012
Arkansas Post NMEM,"39,703","$2,353.40 ",31,$976.40 ,"$1,596.70 ","$2,700.30 ",2012
"Arlington House, The Robert E. LeeMemorial NMEM","562,772","$30,283.40 ",393,"$15,509.80 ","$25,057.60 ","$38,581.60 ",2012
Assateague Island NS,"2,154,859","$86,309.30 ","1,087","$29,752.70 ","$53,772.20 ","$89,381.00 ",2012
Aztec Ruins NM,"44,744","$2,407.70 ",33,$800.00 ,"$1,394.80 ","$2,466.10 ",2012
Badlands NP,"883,406","$52,145.40 ",779,"$18,171.10 ","$32,877.00 ","$60,151.20 ",2012
Bandelier NM,"150,289","$8,711.80 ",125,"$3,642.60 ","$6,031.80 ","$10,428.00 ",2012
Bent's Old Fort NHS,"25,815","$1,389.10 ",19,$530.10 ,$921.90 ,"$1,555.00 ",2012
Bering Land Bridge NPRES,"2,642","$3,816.10 ",53,"$1,906.40 ","$3,201.20 ","$5,313.80 ",2012
Big Bend NP,"292,055","$24,230.10 ",322,"$7,045.50 ","$14,489.80 ","$25,089.90 ",2012
Big Cypress NPRES,"882,570","$64,229.10 ",853,"$33,714.40 ","$55,979.70 ","$88,182.40 ",2012
Big Hole NB,"35,207","$1,894.50 ",28,$681.60 ,"$1,098.10 ","$2,027.10 ",2012
Big South Fork NRRA*,"600,161","$16,923.00 ",213,"$5,640.00 ","$9,921.60 ","$16,773.50 ",2012
Big Thicket NPRES,"135,262","$7,962.70 ",99,"$3,506.80 ","$5,984.10 ","$9,558.20 ",2012
Bighorn Canyon NRA,"245,831","$9,821.10 ",140,"$3,626.70 ","$5,993.80 ","$10,738.00 ",2012
Biscayne NP,"495,613","$29,193.60 ",376,"$15,120.00 ","$24,668.00 ","$38,549.60 ",2012
Black Canyon Of The Gunnison NP,"192,570","$11,027.60 ",133,"$4,624.30 ","$7,447.90 ","$11,998.70 ",2012
Blue Ridge PKWY,"15,205,059","$902,472.10 ","12,168","$425,173.70 ","$724,544.10 ","$1,157,425.00 ",2012
Bluestone NSR,"36,842","$1,463.40 ",19,$514.60 ,$866.20 ,"$1,485.80 ",2012
Booker T Washington NM,"24,361","$1,310.90 ",19,$508.20 ,$880.60 ,"$1,517.30 ",2012
Boston NHP,"2,629,064","$141,473.10 ","1,916","$74,143.10 ","$120,015.90 ","$187,426.80 ",2012
Boston African American NHS,"404,248","$21,753.10 ",295,"$11,391.30 ","$18,447.80 ","$28,818.00 ",2012
Brown V Board Of Education NHS,"21,101","$1,135.50 ",18,$562.50 ,$916.70 ,"$1,551.50 ",2012
Bryce Canyon NP,"1,385,352","$108,946.20 ","1,501","$40,402.40 ","$72,634.80 ","$125,121.30 ",2012
Buck Island Reef NM,"30,436","$1,727.10 ",20,$777.60 ,"$1,318.40 ","$2,028.70 ",2012
Buffalo NR,"1,093,083","$43,789.70 ",610,"$15,325.20 ","$26,366.80 ","$46,933.10 ",2012
Cabrillo NM,"877,951","$47,243.60 ",597,"$22,379.00 ","$36,275.70 ","$56,547.20 ",2012
Canaveral NS,"994,430","$58,891.60 ",785,"$26,758.30 ","$46,216.40 ","$74,220.50 ",2012
Cane River Creole NHP,"28,310","$1,523.40 ",21,$555.10 ,"$1,010.90 ","$1,741.70 ",2012
Canyon De Chelly NM,"828,523","$50,552.40 ",667,"$15,857.60 ","$28,619.80 ","$51,794.60 ",2012
Canyonlands NP,"452,952","$25,208.90 ",338,"$9,027.60 ","$16,018.60 ","$27,739.80 ",2012
Cape Cod NS,"4,441,290","$179,053.00 ","2,170","$88,236.20 ","$138,308.40 ","$212,833.20 ",2012
Cape Hatteras NS,"2,302,040","$135,055.50 ","1,884","$52,131.90 ","$90,726.30 ","$154,392.30 ",2012
Cape Krusenstern NM,"24,950","$36,037.80 ",502,"$18,003.30 ","$30,231.00 ","$50,181.60 ",2012
Cape Lookout NS,"480,294","$20,883.90 ",297,"$6,695.60 ","$11,889.20 ","$21,367.40 ",2012
Capitol Reef NP*,"673,345","$44,636.70 ",554,"$15,085.10 ","$26,928.00 ","$47,353.90 ",2012
Capulin Volcano NM*,"48,710","$1,353.60 ",19,$351.10 ,$657.60 ,"$1,210.70 ",2012
Carl Sandburg Home NHS,"93,429","$5,027.50 ",74,"$2,011.20 ","$3,452.90 ","$5,923.30 ",2012
Carlsbad Caverns NP,"381,058","$22,584.70 ",296,"$7,256.00 ","$12,584.30 ","$22,714.90 ",2012
Casa Grande Ruins NM,"68,631","$3,693.10 ",53,"$1,906.30 ","$3,099.50 ","$4,985.50 ",2012
Castillo De San Marcos NM,"727,243","$39,133.80 ",557,"$17,006.20 ","$29,910.90 ","$48,961.70 ",2012
Castle Clinton NM,"3,264,439","$75,371.00 ",802,"$35,064.50 ","$55,142.60 ","$80,629.10 ",2012
Catoctin Mountain P,"263,797","$15,092.80 ",191,"$7,540.80 ","$12,269.60 ","$19,078.70 ",2012
Cedar Breaks NM,"631,809","$37,415.50 ",499,"$13,189.10 ","$23,603.30 ","$40,989.60 ",2012
Chaco Culture NHP,"39,044","$2,255.30 ",32,$892.50 ,"$1,508.40 ","$2,633.60 ",2012
Chamizal NMEM,"104,148","$5,604.30 ",79,"$2,022.80 ","$3,754.80 ","$6,513.60 ",2012
Channel Islands NP,"249,594","$13,997.10 ",178,"$7,325.10 ","$11,846.00 ","$18,712.50 ",2012
Charles Pinckney NHS,"44,314","$2,384.60 ",34,"$1,016.50 ","$1,682.30 ","$2,798.60 ",2012
Chattahoochee River NRA,"3,168,137","$125,842.20 ","1,775","$62,089.00 ","$100,423.40 ","$163,725.00 ",2012
Chesapeake & Ohio Canal NHP,"4,712,377","$81,886.20 ","1,117","$41,793.40 ","$69,281.10 ","$108,949.30 ",2012
Chickamauga & Chattanooga NMP,"1,032,844","$61,166.50 ",867,"$21,428.20 ","$39,092.90 ","$69,309.50 ",2012
Chickasaw NRA*,"1,487,039","$22,135.60 ",213,"$5,096.40 ","$8,614.60 ","$15,030.30 ",2012
Chiricahua NM,"41,159","$2,322.00 ",29,$695.90 ,"$1,281.80 ","$2,263.70 ",2012
Christiansted NHS,"126,962","$6,832.00 ",82,"$3,189.00 ","$5,307.00 ","$8,199.60 ",2012
City Of Rocks NRES,"98,996","$5,327.10 ",74,"$1,936.30 ","$3,242.20 ","$5,679.60 ",2012
Clara Barton NHS,"25,347","$1,364.00 ",18,$698.20 ,"$1,128.20 ","$1,738.80 ",2012
Colonial NHP,"3,274,187","$176,187.90 ","2,539","$74,263.30 ","$127,177.50 ","$213,797.70 ",2012
Colorado NM,"454,510","$26,577.40 ",356,"$9,626.70 ","$17,086.40 ","$29,307.60 ",2012
