Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"241,264","$13,530.80 ",227,"$6,428.50 ","$10,306.80 ","$18,129.50 ",2014
Acadia NP,"2,563,128","$221,130.50 ","3,486","$91,220.00 ","$154,139.80 ","$270,924.70 ",2014
Adams NHP,"178,468","$10,009.00 ",150,"$5,619.60 ","$8,846.50 ","$14,096.50 ",2014
African Burial Ground NM,"54,861","$3,076.80 ",41,"$1,815.70 ","$2,817.80 ","$4,230.70 ",2014
Agate Fossil Beds NM*,"12,441",$875.40 ,11,$272.50 ,$490.20 ,$913.00 ,2014
Alibates Flint Quarries NM,"4,513",$253.10 ,3,$101.00 ,$176.30 ,$314.90 ,2014
Allegheny Portage Railroad NHS,"172,883","$9,695.90 ",161,"$4,802.20 ","$7,546.20 ","$13,090.20 ",2014
Amistad NRA,"1,130,095","$47,251.20 ",669,"$14,492.10 ","$26,196.20 ","$47,269.30 ",2014
Andersonville NHS,"127,189","$7,133.10 ",122,"$2,745.40 ","$4,676.00 ","$8,688.10 ",2014
Andrew Johnson NHS,"42,863","$2,403.90 ",41,"$1,077.80 ","$1,799.10 ","$3,114.50 ",2014
Aniakchak NM&PRES,134,$122.80 ,1,$48.80 ,$115.50 ,$172.20 ,2014
Antietam NB,"337,080","$18,904.50 ",274,"$10,301.50 ","$16,167.60 ","$25,738.10 ",2014
Apostle Islands NL*,"290,060","$44,389.30 ",702,"$16,907.00 ","$29,651.10 ","$53,777.30 ",2014
Appomattox Court House NHP,"278,776","$15,634.70 ",261,"$6,761.50 ","$11,315.20 ","$19,941.70 ",2014
Arches NP*,"1,284,768","$146,081.20 ","2,455","$61,114.30 ","$110,401.20 ","$193,737.40 ",2014
Arkansas Post NMEM,"30,861","$1,730.80 ",26,$760.20 ,"$1,195.20 ","$2,075.90 ",2014
"Arlington House, The Robert E.Lee Memorial NMEM","671,638","$37,667.60 ",537,"$20,582.80 ","$32,310.50 ","$51,081.30 ",2014
Assateague Island NS,"2,170,681","$90,417.20 ","1,241","$35,689.00 ","$62,774.00 ","$102,346.90 ",2014
Aztec Ruins NM,"44,720","$2,508.00 ",40,$929.80 ,"$1,615.50 ","$2,865.90 ",2014
Badlands NP,"868,094","$53,312.90 ",874,"$20,883.50 ","$34,407.70 ","$66,184.90 ",2014
Bandelier NM,"130,107","$7,802.60 ",123,"$3,377.70 ","$5,458.40 ","$9,790.70 ",2014
Bent's Old Fort NHS,"24,555","$1,377.10 ",21,$545.60 ,$973.40 ,"$1,685.50 ",2014
Bering Land Bridge NPRES,"2,636","$3,977.90 ",52,"$1,895.10 ","$3,480.30 ","$5,658.70 ",2014
Big Bend NP,"314,102","$27,185.40 ",410,"$9,245.80 ","$16,842.70 ","$30,170.20 ",2014
Big Cypress NPRES,"1,192,856","$91,111.20 ","1,323","$50,613.10 ","$80,400.70 ","$129,699.80 ",2014
Big Hole NB,"36,987","$2,074.40 ",33,$864.80 ,"$1,300.60 ","$2,408.10 ",2014
Big South Fork NRRA*,"599,906","$17,531.80 ",242,"$6,304.60 ","$10,713.20 ","$18,638.30 ",2014
Big Thicket NPRES,"109,957","$6,743.00 ",95,"$3,220.30 ","$5,201.50 ","$8,632.90 ",2014
Bighorn Canyon NRA,"224,082","$9,325.50 ",147,"$3,764.30 ","$6,008.50 ","$11,111.40 ",2014
Biscayne NP,"525,745","$32,351.30 ",459,"$17,859.90 ","$27,890.10 ","$44,794.00 ",2014
Black Canyon Of The Gunnison NP,"183,046","$10,948.40 ",148,"$5,093.40 ","$8,314.00 ","$13,469.70 ",2014
Blue Ridge PKWY,"13,941,750","$863,528.70 ","14,020","$408,847.20 ","$678,557.00 ","$1,175,763.30 ",2014
Bluestone NSR,"38,450","$1,587.60 ",23,$633.50 ,"$1,019.40 ","$1,792.40 ",2014
