Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Abraham Lincoln Birthplace NHP,"251,188","$16,352 ",250,"$8,167 ","$12,782 ","$23,813 ",2021
Acadia NPa,"4,069,098","$486,056 ","6,841","$236,009 ","$401,158 ","$702,038 ",2021
Adams NHP,"20,679","$1,346 ",17,$813 ,"$1,267 ","$2,047 ",2021
African Burial Ground NM,"9,167",$597 ,7,$356 ,$579 ,$877 ,2021
Agate Fossil Beds NMa,"18,264","$1,517 ",20,$471 ,$819 ,"$1,625 ",2021
Alagnak WRc,262,$12 ,0,$5 ,$8 ,$13 ,2021
Alibates Flint Quarries NM,"9,526",$620 ,9,$259 ,$409 ,$796 ,2021
Allegheny Portage Railroad NHS,"187,919","$12,233 ",177,"$6,557 ","$10,150 ","$17,947 ",2021
Amistad NRA,"1,091,897","$53,722 ",682,"$18,664 ","$29,635 ","$58,014 ",2021
Andersonville NHS,"45,084","$2,935 ",46,"$1,118 ","$1,914 ","$3,777 ",2021
Andrew Johnson NHS,"63,720","$4,148 ",59,"$1,933 ","$3,165 ","$5,749 ",2021
Aniakchak NM&PRESb,145,$319 ,4,$175 ,$284 ,$483 ,2021
Antietam NB,"110,544","$7,195 ",90,"$4,083 ","$6,636 ","$10,688 ",2021
Apostle Islands NLa,"290,961","$50,884 ",705,"$19,737 ","$33,758 ","$63,754 ",2021
Appomattox Court House NHP,"92,650","$6,031 ",87,"$2,587 ","$4,316 ","$7,995 ",2021
Arches NPa,"1,806,865","$236,999 ","3,229","$94,614 ","$160,803 ","$294,344 ",2021
Arkansas Post NMEM,"26,043","$1,696 ",23,$696 ,"$1,190 ","$2,171 ",2021
"Arlington House, The Robert E. Lee Memorial NMEMc","4,781",$311 ,4,$176 ,$288 ,$461 ,2021
Assateague Island NS,"2,662,716","$130,626 ","1,596","$53,542 ","$87,636 ","$155,441 ",2021
Aztec Ruins NM,"56,427","$3,673 ",49,"$1,302 ","$2,318 ","$4,404 ",2021
Badlands NP,"1,224,226","$88,287 ","1,193","$34,782 ","$61,008 ","$114,085 ",2021
Bandelier NM,"270,716","$18,963 ",254,"$7,852 ","$13,572 ","$24,794 ",2021
Belmont-Paul Women's Equality NMc,0,$0 ,0,$0 ,$0 ,$0 ,2021
Bent's Old Fort NHS,"21,585","$1,405 ",19,$592 ,"$1,018 ","$1,818 ",2021
Bering Land Bridge NPRES,"2,642","$4,306 ",61,"$2,359 ","$3,763 ","$6,444 ",2021
Big Bend NP,"581,220","$53,078 ",726,"$20,472 ","$32,565 ","$61,238 ",2021
Big Cypress NPRES,"2,563,810","$227,772 ","2,986","$116,395 ","$199,589 ","$338,156 ",2021
Big Hole NBa,"31,734","$2,498 ",32,$925 ,"$1,382 ","$2,768 ",2021
Big South Fork NRRAa,"834,724","$29,283 ",348,"$11,438 ","$18,581 ","$33,891 ",2021
Big Thicket NPRES,"290,837","$20,821 ",274,"$10,523 ","$16,519 ","$28,433 ",2021
Bighorn Canyon NRA,"219,505","$10,743 ",145,"$4,416 ","$6,748 ","$13,112 ",2021
Biscayne NP,"705,655","$50,551 ",658,"$25,625 ","$43,312 ","$73,538 ",2021
Black Canyon of the Gunnison NP,"308,910","$21,401 ",250,"$9,270 ","$15,505 ","$26,676 ",2021
Blue Ridge PKWYa,"15,948,148","$1,287,039 ","17,947","$530,834 ","$901,289 ","$1,675,447 ",2021
Bluestone NSRc,"26,710","$1,315 ",17,$512 ,$854 ,"$1,584 ",2021
Booker T Washington NM,"18,963","$1,234 ",19,$543 ,$911 ,"$1,708 ",2021
Boston African American NHS,"239,238","$15,574 ",196,"$9,425 ","$14,695 ","$23,734 ",2021
Boston Harbor Islands NRAc,"20,777","$1,023 ",12,$575 ,$895 ,"$1,450 ",2021
Boston NHPc,"1,098,210","$71,491 ",900,"$43,274 ","$67,457 ","$108,943 ",2021
